xdrop,dataset,algo,gcups_inner,time_ms_inner
5.0,celegans,ksw2,6.491999416033092,0.15403575014660825
5.0,celegans,logan,11.048437600740707,0.09051053516679666
5.0,celegans,seqan,2.153243534767286,0.46441565194718043
5.0,ecoli,ksw2,13.463170592209666,0.07427670868098785
5.0,ecoli,logan,21.595730679122614,0.04630544874162265
5.0,ecoli,seqan,4.461008315248407,0.22416456758931552
5.0,ecoli100,ksw2,9.269600296347841,0.10787951670300099
5.0,ecoli100,logan,8.854660873920094,0.11293487285835312
5.0,ecoli100,seqan,2.9879855562688276,0.334673639202167
5.0,simulated85,ksw2,9.289250099766733,0.10765131622681917
5.0,simulated85,logan,32.97667913988284,0.030324460378746095
5.0,simulated85,seqan,3.1849639439210926,0.31397529692875387
10.0,celegans,ksw2,4.177898340364899,0.23935479481117763
10.0,celegans,logan,5.057931916549688,0.19770926467554323
10.0,celegans,seqan,1.527196503919204,0.6547945843470216
10.0,ecoli,ksw2,5.159428931585978,0.19381990008196623
10.0,ecoli,logan,7.798303172377061,0.12823302427407196
10.0,ecoli,seqan,2.352133722203857,0.4251458964939457
10.0,ecoli100,ksw2,4.426296869135126,0.22592248770593512
10.0,ecoli100,logan,4.895219076800983,0.2042809492917522
10.0,ecoli100,seqan,2.3147210210504316,0.43201750487676266
10.0,simulated85,ksw2,6.786728173491435,0.14734640528346807
10.0,simulated85,logan,23.76804994721758,0.04207328755285898
10.0,simulated85,seqan,2.762558828490953,0.3619832416550744
15.0,celegans,ksw2,2.2354535513673675,0.44733651450209133
15.0,celegans,logan,3.198325413462841,0.3126636194649423
15.0,celegans,seqan,1.5699886925650506,0.6369472625730813
15.0,ecoli,ksw2,2.429176030843899,0.4116622209764677
15.0,ecoli,logan,4.0696077915069075,0.24572392506397206
15.0,ecoli,seqan,1.5770281431292537,0.6341040927879241
15.0,ecoli100,ksw2,2.384443627117736,0.4193850458980145
15.0,ecoli100,logan,3.1711617979732685,0.31534184116342256
15.0,ecoli100,seqan,1.8783040147431003,0.532395177857708
15.0,simulated85,ksw2,5.762861686663446,0.17352490036577214
15.0,simulated85,logan,18.290039368645594,0.05467456793528222
15.0,simulated85,seqan,2.4238097035569313,0.4125736432742652
20.0,celegans,ksw2,1.5146636389155306,0.6602125873411608
20.0,celegans,logan,2.491667409048326,0.40133767306525986
20.0,celegans,seqan,1.6480560206738637,0.606775490308343
20.0,ecoli,ksw2,1.473172127701814,0.6788073037738133
20.0,ecoli,logan,2.5326318055591877,0.3948461824592805
20.0,ecoli,seqan,1.213351108009103,0.8241637506235314
20.0,ecoli100,ksw2,1.6296430863582152,0.6136312965526171
20.0,ecoli100,logan,2.2514540900658355,0.4441574022816334
20.0,ecoli100,seqan,1.701729558497349,0.5876374392197864
20.0,simulated85,ksw2,4.79465543706758,0.20856556078440577
20.0,simulated85,logan,14.874451344280384,0.06722937047251333
20.0,simulated85,seqan,2.08792521739548,0.47894435666015855
